isbn13,title,sell px,offers,90d,stock,asr
9781842430064,Hand I Played: A Poker Memoir,15.29,1,0,82,3234231
9781843440239,Making Of A Poker Player,8.99,3,2,16,1327101
9781854441348,F. Ernest Jackson and His School,4.79,6,0,1101,5078915
9780091885694,Death: A User's Guide (User's Guides),4.82,2,0,5,3366945
9781864290103,"Pocketful of Stars, A",3.8,1,0,47,7589956
9780224076807,Insatiable: Competitive Eating & Big Fat American Dream,4.79,3,0,103,2856297
9789879338568,Love Never Ends,3.95,2,0,10,2000000
9780716021414,Cosmetic Watch: Lifting the Lid Off Cosmetic Ingre,4.79,2,0,38,3363572
9780856603495,How to Succeed at Assessment Centres,4.79,2,0,25,10112367
9780717131242,Complete Breast Book,5.29,3,0,1093,12484262
9780859697705,Feverfew (Sheldon Natural Remedies),4.8,1,0,93,6426167
9780006530381,I Am No Longer Myself Without You: How Men Love Wo,5.3,2,1,58,1679411
9780752864938,You Are Here,4.48,8,3,1062,1039955
9780575603370,Feng Shui for Entertaining,3.49,4,0,30,10345366
9781600610691,For Boys Only / For Girls Only,3.29,3,0,1030,5586318
9780436205354,Triksta - Life & Death & New Orleans Rap,4.8,3,3,103,1450336
9780753812891,Ways of Hearing,3.99,4,0,106,3844521
9780006750598,When She Hollers,3.34,5,0,1134,2026119
9780316640770,Staffordshire Figures (Christie's Collectables),2.8,10,2,211,1540996
9780099470144,"Lovebites: A Cornucopia of Love, Desire and Sauce",2.7,5,0,1102,5801281
9781402206818,Do You Know Your Teen?: A Fun Quiz About Your Grea,4.8,1,0,100,4560411
9781599212227,PMS - Problems Men Started,6.58,3,0,1101,2000000
9780091896928,Family Dog: Celebrating Our Favourite Relative,2.81,10,0,49,3902581
9781842432747,Little Book Of Lonelyhearts,2.81,10,0,1116,7300342
9781854795601,The Little Book of Voodoo,4.8,3,1,1016,2183198
9781903938539,Bird in the Hand (Humour),4.79,5,0,1092,12377052
9781932857382,Scamorama,8.99,2,0,104,6217752
9780099440734,The Book of Colour,6.05,13,2,1128,1181093
9780413744807,Nobrow,7.19,1,2,105,883253
9780715312650,Emma Hunk's Country Painting Style: 20 Decorative,6.36,4,0,84,2657857
9781905745166,Confessions of a Showman,6.29,1,6,100,72713
9780753512647,How To Make Music In Your Bedroom,4.39,3,3,110,1320951
9781854440754,Eighteenth-century French Porcelain in the Ashmole,5.86,2,1,3,1507246
9781903047408,Hitchhiker's Guide: Pocket Essentials,3.59,6,0,181,2127069
9781844135448,Cover Versions: Singing Other People's Songs,2.81,6,1,1123,2463503
9780091885786,Clubland Confidential,8.79,3,2,104,899529
9780747593096,House Music - Oona King Diaries,5.44,14,6,1141,262786
9780752440286,Elizabeth Robins - Staging A Life,12.99,12,0,1187,2000000
9780571226474,Keystone: Life & Clowns of Mack Sennett,6.2,13,4,1322,266923
