date/time,type,pid,description,quantity,fulfilment,product sales,postage credits,selling fees,fbsp fees,total
12 Nov 2020 11:21:59 UTC,Order,OT-7LQX-WQGB,Dead Set (Di January David),1,Seller,8.95,0,-2.24,0,6.71
17 Nov 2020 13:24:46 UTC,Order,04-UGMK-IE1W,"For Richer, For Poorer: Confessions of a Player",1,Partner,5.25,0,-1.56,-2.11,1.58
21 Nov 2020 16:44:17 UTC,Order,GP-71HN-Y7YG,"German Schoolboy, British Commando",1,Seller,4.05,2.8,-1.86,0,4.99
26 Nov 2020 20:27:41 UTC,Order,IY-KY11-0HQ1,The Death of Rugby,1,Seller,4.7,2.8,-1.98,0,5.52
2 Dec 2020 14:41:47 UTC,Order,04-UGMK-IE1W,"For Richer, For Poorer: Confessions of a Player",1,Partner,5.25,0,-1.56,-2.11,1.58
3 Dec 2020 02:16:21 UTC,Order,DY-B86V-DFFH,"The Penalty King: The Autobiography of Johnny Hubbard, Rangers' Star of the 1950s",1,Partner,7.05,0,-1.9,-2.65,2.5
3 Dec 2020 11:47:46 UTC,Order,XS-JU3W-H7H5,Madame Zero,1,Partner,9.21,1.12,-2.29,-7.22,4.81
3 Dec 2020 17:29:33 UTC,Order,2F-R5OV-07ST,"German Schoolboy, British Commando",1,Partner,6.85,0,-1.86,-2.11,2.88
3 Dec 2020 20:49:16 UTC,Order,IQ-GSGM-5XZI,The Fun Stuff and Other Essays,1,Partner,4.67,0,-1.45,-2.11,1.11
5 Dec 2020 15:43:18 UTC,Order,61-FZ1V-BZFC,The Odd Couple: The curious friendship between Kingsley Amis and Philip Larkin,1,Seller,5.09,2.8,-2.06,0,5.83
6 Dec 2020 00:53:29 UTC,Order,O3-T0NA-M90M,The Prometheans: John Martin and the Generation That Stole the Future,1,Partner,5.27,0,-1.57,-2.11,1.59
6 Dec 2020 03:28:03 UTC,Order,04-UGMK-IE1W,"For Richer, For Poorer: Confessions of a Player",1,Partner,5.25,0,-1.56,-2.11,1.58
6 Dec 2020 06:36:16 UTC,Order,J4-MQ0K-5DWE,"Motherwell FC Miscellany: Steelman Trivia, History, Facts and Stats: Steelmen Trivia, History, Facts & STATS",1,Seller,5.02,2.8,-2.04,0,5.78
6 Dec 2020 11:20:19 UTC,Order,JI-SDB7-ESB7,Strictly Classified: Insights into the Trainer's Mind: Secrets and Insights Into the Trainers Mind,1,Partner,5.58,0,-1.62,-2.65,1.31
6 Dec 2020 15:22:33 UTC,Order,A1-LDL7-3FKW,"Of Cats and Men: Profiles of history's great cat-loving artists, writers, thinkers and statesmen",1,Partner,5.9,0,-1.68,-2.65,1.57
6 Dec 2020 15:30:40 UTC,Order,8X-8LR6-R5LJ,Peter Alliss' Golf Heroes,1,Seller,4.72,2.8,-1.98,0,5.54
6 Dec 2020 20:39:46 UTC,Order,J4-MQ0K-5DWE,"Motherwell FC Miscellany: Steelman Trivia, History, Facts and Stats: Steelmen Trivia, History, Facts & STATS",1,Seller,5.02,1.64,-1.82,0,4.84
7 Dec 2020 02:40:06 UTC,Order,A1-LDL7-3FKW,"Of Cats and Men: Profiles of history's great cat-loving artists, writers, thinkers and statesmen",1,Partner,5.9,0,-1.68,-2.65,1.57
7 Dec 2020 09:34:39 UTC,Order,WW-2Z39-27CZ,The Longest Journey : The Inside Story of Sussex's Championship Triumph,1,Partner,6.2,0,-1.74,-2.65,1.81
7 Dec 2020 10:15:08 UTC,Order,JI-SDB7-ESB7,Strictly Classified: Insights into the Trainer's Mind: Secrets and Insights Into the Trainers Mind,1,Partner,5.54,0,-1.62,-2.65,1.27
7 Dec 2020 19:08:06 UTC,Order,8X-8LR6-R5LJ,Peter Alliss' Golf Heroes,1,Seller,4.72,1.64,-1.47,0,4.89
8 Dec 2020 03:31:04 UTC,Order,2F-R5OV-07ST,"German Schoolboy, British Commando",1,Partner,6.85,2.99,-1.55,-4.25,4.04
8 Dec 2020 10:10:17 UTC,Order,8O-1H2T-B567,Consumed,1,Partner,8.86,0,-1.86,-2.21,4.79
8 Dec 2020 12:26:58 UTC,Order,WJ-8FPD-XASE,Right Time Baby: The Complete Guide to Later Motherhood,1,Partner,6,0.75,-1.42,-2.21,2.37
8 Dec 2020 18:19:57 UTC,Order,8X-8LR6-R5LJ,Peter Alliss' Golf Heroes,1,Seller,4.72,1.64,-1.47,0,4.89
8 Dec 2020 19:44:00 UTC,Order,MC-PNJW-I9QF,Different Drummer: The Life of Kenneth MacMillan,1,Partner,8.29,0.15,-1.77,-2.77,3.9
8 Dec 2020 20:30:02 UTC,Order,KK-NE8X-EBEX,Oldham Athletic A Pictorial History,1,Partner,6,0,-1.42,-1.76,2.82
9 Dec 2020 11:51:21 UTC,Order,KI-2ZTG-8F3X,Red Tory: How Left and Right have Broken Britain and How we can Fix It,1,Partner,9.8,2.99,-2,-4.7,6.09
9 Dec 2020 14:18:30 UTC,Order,04-UGMK-IE1W,"For Richer, For Poorer: Confessions of a Player",1,Partner,5.25,0,-1.3,-2.21,1.74
9 Dec 2020 20:27:51 UTC,Order,5M-N9ZH-7LBI,Pitch Black: The Story of Black British Footballers,1,Partner,7.79,0,-1.69,-2.21,3.89
9 Dec 2020 21:04:31 UTC,Order,XR-669I-IDBK,Henry Cecil: Trainer of Genius,1,Partner,6.21,0,-1.45,-2.21,2.55
